listing_id,name,city,property_type,amenities,price,minimum_nights,review_scores_rating,instant_bookable,host_id
281420,"Beautiful Flat in le Village Montmartre, Paris",Paris,Entire apartment,"[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",53,2,100.0,f,1
3705183,39 m Paris (Sacre C??ur),Paris,Entire apartment,"[""Shampoo"", ""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Long term stays allowed""]",120,2,100.0,f,2
4082273,"Lovely apartment with Terrace, 60m2",Paris,Entire apartment,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",89,2,100.0,f,3
4797344,Cosy studio (close to Eiffel tower),Paris,Entire apartment,"[""Heating"", ""TV"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]",58,2,100.0,f,4
4823489,Close to Eiffel Tower - Beautiful flat : 2 rooms,Paris,Entire apartment,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Bathtub"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",60,2,100.0,f,5
4898654,NEW - Charming apartment Le Marais,Paris,Entire apartment,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",95,2,100.0,f,6
6021700,2P - Entre Bastille et Republique,Paris,Entire apartment,"[""Shampoo"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed""]",80,2,100.0,f,7
6945740,57sqm btw. Bastille & Pï¿½re Lachaise,Paris,Entire apartment,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",59,2,100.0,f,8
7491966,Charming appartment near the Parc Buttes Chaumont,Paris,Entire apartment,"[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Cable TV""]",80,2,100.0,f,9
7849932,Bel appartement plein de charme !,Paris,Entire apartment,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",90,2,100.0,f,10
7995091,Beau 2piï¿½ces prï¿½s Butte aux cailles,Paris,Entire apartment,"[""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",60,2,100.0,f,11
9011901,Cosy appartement in marais 40m2,Paris,Entire apartment,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",80,2,100.0,f,12
9880847,Cosy Flat near Rue Mouffetard,Paris,Entire apartment,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",61,2,100.0,f,13
9898855,Grand 2 piï¿½ces de 60 m2 cosy au canal Saint Martin,Paris,Entire apartment,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""TV"", ""Iron"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Coffee maker"", ""Washer"", ""Cooking basics"", ""Paid parking off premises"", ""Garden or backyard"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Elevator""]",145,2,100.0,f,14
10266213,"Studio pour deux, place de clichy",Paris,Entire apartment,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",35,2,100.0,f,15
11643413,Luminous & very cosy flat in Paris,Paris,Entire apartment,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",39,2,100.0,f,16
11764434,2 piï¿½ces baignees de soleil !,Paris,Entire apartment,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,2,100.0,f,17
11963112,Appartement au coeur de Bastille,Paris,Entire apartment,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",55,2,100.0,f,18
11985909,2 rooms Canal St Martin/ Republique,Paris,Entire apartment,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",57,2,100.0,f,19
12331902,Calm 1 Bedroom,Paris,Entire apartment,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,2,100.0,f,20
12723768,Two rooms flat near Champs Elysees,Paris,Entire apartment,"[""Heating"", ""Iron"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",51,2,100.0,f,21
13013700,40m2 lovely parisien flat - southpi,Paris,Entire apartment,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",80,2,100.0,f,22
13135280,Duplex flat in central Paris overlooking a garden,Paris,Entire apartment,"[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Cable TV"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]",70,2,100.0,f,23
13147280,Grand 2 piï¿½ces Montparnasse proche St-Germain,Paris,Entire apartment,"[""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]",90,2,100.0,f,24
13182340,Typical Parisian flat with balcony - rooftop view,Paris,Entire apartment,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",89,2,100.0,f,25
13331656,Comfortable studio flat near Place de la Nation,Paris,Entire apartment,"[""Shampoo"", ""Heating"", ""Washer"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",42,2,100.0,f,26
13698157,Cosy Appartment in the Batignolles area,Paris,Entire apartment,"[""Shampoo"", ""Heating"", ""Washer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",35,2,100.0,f,27
13838085,Charming Flat in Downtown Paris,Paris,Entire apartment,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Carbon monoxide alarm""]",60,2,100.0,f,28
13857048,Charmant 2 piï¿½ces proche montmartre,Paris,Entire apartment,"[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""Hangers""]",50,2,100.0,f,29
13893805,Cosy flat at the foot of Sacre Coeur in Montmartre,Paris,Entire apartment,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm""]",70,2,100.0,f,30
14079899,Appart 2 piï¿½ces - Grenelle/Effeil Tower,Paris,Entire apartment,"[""Iron"", ""Shampoo"", ""Heating"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",50,2,100.0,f,31
14248895,Charming and calm duplex in Saint Germain,Paris,Entire apartment,"[""Iron"", ""Heating"", ""Hair dryer"", ""Bathtub"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Long term stays allowed"", ""Luggage dropoff allowed""]",100,2,100.0,f,32
14598274,Appartement lumineux et calme dans le haut marais,Paris,Entire apartment,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Fire extinguisher"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",109,2,100.0,f,33
15299395,Parisian cosy apartment Latin Quarter - 1 bedroom,Paris,Entire apartment,"[""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Dishwasher"", ""TV"", ""Coffee maker"", ""Microwave""]",68,2,100.0,f,34
15473721,Lovely flat at the heart of the Quartier Latin,Paris,Entire apartment,"[""Shampoo"", ""Heating"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm""]",75,2,100.0,f,35
15641938,Very Charming Apartment in Heart of Paris,Paris,Entire apartment,"[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Long term stays allowed"", ""Hangers"", ""TV""]",65,2,100.0,f,36
15741295,Charmant appartement parisien (central),Paris,Entire apartment,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",100,2,100.0,f,37
15805091,Cozy Apartment Center Town near Parc Luxembourg,Paris,Entire apartment,"[""Iron"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Breakfast""]",40,2,100.0,f,38
16170017,Beautiful flat near Roland Garros,Paris,Entire apartment,"[""Elevator"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dryer"", ""Dedicated workspace"", ""First aid kit"", ""Essentials"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Cable TV"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Host greets you"", ""Microwave""]",80,2,100.0,f,39
16371887,2 piï¿½ces ï¿½ deux pas du Marais,Paris,Entire apartment,"[""Single level home"", ""Dishes and silverware"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Coffee maker"", ""Essentials"", ""Dishwasher"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Cable TV"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed""]",109,2,100.0,f,40
